Filing Name,Extracted Table of Contents,URL,Conclusion,proper_extraction,classification,salience-rating,annotator-uni
scotus_filing_34174,"TABLE OF CONTENTS 
Page 
TABLE OF AUTHORITIES .......................................................................................... ii 
INTRODUCTION AND INTERESTS OF AMICI STATES ......................................... 1 
STATEMENT ................................................................................................................. 3 
A.
The COVID-19 Pandemic ........................................................................... 3 
B.
Proceedings Below ...................................................................................... 5 
SUMMARY OF ARGUMENT ....................................................................................... 7 
ARGUMENT .................................................................................................................. 9 
POINT I 
THE PRELIMINARY INJUNCTION ENSURES SAFE ACCESS TO ESSENTIAL
REPRODUCTIVE HEALTHCARE IN A WAY THAT MINIMIZES TRANSMISSION OF
COVID-19 ................................................................................................................ 10 
A.
During the Pandemic, Telehealth Has Been Routinely Used to
Deliver Essential Healthcare While Minimizing In-Person
Contacts. ................................................................................................... 11 
B.
The Record Demonstrates That Telehealth Counseling and Mail
Delivery Can Be Used to Safely Provide Mifepristone to Patients. ....... 15 
POINT II 
AMICI STATES’ EXPERIENCE CONFIRMS THAT A STAY WOULD HARM PATIENTS
AND THE PUBLIC BY REQUIRING UNNECESSARY TRAVEL AND IN-PERSON
CONTACTS DURING THE PANDEMIC ............................................................................ 20 
CONCLUSION ............................................................................................................. 23 
ii 
",http://www.supremecourt.gov/DocketPDF/20/20A34/153307/20200908123313493_20A34-Amicus%20Mot%20for%20States%20of%20NY%20et%20al.pdf,"CONCLUSION 
The stay application should be denied. 
Dated: 
New York, New York 
September 8, 2020 
Respectfully submitted, 
LE",,,,sd3592
scotus_filing_34245,"TABLE OF CONTENTS 
STATEMENT OF INTEREST OF AMICI CURIAE .................................................... 1 
ARGUMENT .................................................................................................................. 2 
I. 
States Have Adopted Reasonable Measures To Protect Voter 
Participation And Overall Health During The COVID-19 
Pandemic .................................................................................................. 2 
II. 
There Is No Evidence That South Carolina’s Witness 
Requirement Is Necessary To Prevent Voter Fraud ............................... 7 
CONCLUSION ............................................................................................................. 13 
 
 
ii 
",http://www.supremecourt.gov/DocketPDF/20/20A55/156706/20201003132855322_Andino%20v.%20Middleton%20-%20Motion%20for%20Leave%20to%20File%20and%20Brief.pdf,"CONCLUSION 
 
This Court should deny the application for a stay. 
 
27  
Indeed, given the significant penalties f",,,,sd3592
scotus_filing_34247,"TABLE OF CONTENTS 
 
TABLE OF AUTHORITIES....................................... iii 
 
MOTION FOR LEAVE TO FILE BRIEF OF 
AMICI CURIAE ............................................................. 1 
 
MOTION FOR LEAVE TO FILE ON 8 1/2 
BY 11 INCH FORMAT ................................................. 3 
 
STATEMENT OF INTEREST OF AMICI .................. 7 
 
INTRODUCTION AND SUMMARY OF 
ARGUMENT .................................................................. 8 
 
ARGUMENT ................................................................ 10 
 
I. 
To Assure that Older South 
Carolinians Can Vote Safely, the 
State Must Limit High-Risk, 
Interpersonal Contact in the 
November Election ........................................... 10 
 
A. For Medically Vulnerable 
Older Voters, Risk of COVID-
19 Infection for the General 
Election Would Be 
Unacceptably High If the 
Witness Requirement Is 
Enforced and, Thus, Absentee 
Voting Requires Close Contact 
with Persons Whose 
Compliance with Anti-Virus 
Measures Is Unknown................................ 10 
ii 
 
 
B. Risks of Serious Harm, 
Including Death, Due to 
COVID-19 Are Especially 
High for Older South 
Carolinians .................................................. 14 
 
C. The COVID-19 Crisis—and 
Dangers Related to 
Enforcement of the Witness 
Requirement—Will Still Be 
Present in November .................................. 20 
 
D. Enforcing the Witness 
Requirement Would Be 
Especially Perverse Given the 
Higher Levels of Electoral 
Participation of Older Voters 
Who Are Most at Risk from 
COVID-19 .................................................... 22 
 
II. 
The Witness Requirement as 
Applied to the November General 
Election in South Carolina 
Violates the U.S. Constitution by 
Creating an Undue Risk of 
Serious Injury or Death for 
Medically Vulnerable Voters, 
Most of Whom Are Older ................................. 25 
  
CONCLUSION ............................................................. 29 
 
iii 
 
 
",http://www.supremecourt.gov/DocketPDF/20/20A55/156710/20201003154316895_ANDINO%20FINAL%20AMICI%20BRIEF.pdf,"CONCLUSION 
 
For the reasons set forth above, Amici urge the 
Court to deny the emergency application for a stay. 
 
 
      
 
Respectfully submitted, 
 
 
 
/s",,,,sd3592
scotus_filing_34250,"TABLE OF CONTENTS 
 
TABLE OF AUTHORITIES .......................................................................................... ii 
MOTION FOR LEAVE TO FILE AMICUS BRIEF ..................................................... 1 
MOTION FOR LEAVE TO FILE ON 8-1/2 BY 11 INCH FORMAT ........................... 5 
AMICI CURIAE BRIEF IN SUPPORT OF RESPONDENTS ..................................... 8 
ARGUMENT .................................................................................................................. 8 
I. 
THE CONSIDERATIONS OF PURCELL V. GONZALEZ FAVOR DENIAL 
OF A STAY ........................................................................................................ 10 
II. THE EQUITIES STRONGLY MILITATE AGAINST A STAY ........................ 14 
A.   
The District Court Properly Applied the Anderson-Burdick          
Standard  to Determine that Respondents Were Likely to Succeed          
on the Merits .......................................................................................... 16 
B.  
South Carolina’s Witness Requirement Burdens Respondents’ 
Constitutional Rights ............................................................................. 19 
C.  
A Stay Would Irreparably Harm Respondents, Amici, and           All 
South Carolina Voters ............................................................................ 22 
CONCLUSION ............................................................................................................. 24 
 
 
 
 
ii 
",http://www.supremecourt.gov/DocketPDF/20/20A55/156705/20201003121147452_No20A55_Andino%20v%20Middleton_Amicus%20Supporting%20Respondents.pdf,"CONCLUSION 
 
 
For the foregoing reasons, the Court should deny Applicants’ Emergency 
Motion for a Stay of the District Court’s preliminary injunction. 
Respectfully submitted,",,,,sd3592
scotus_filing_34285,"TABLE OF CONTENTS 
Page 
Interest of Amici Curiae ............................................................... 1 
Summary of Argument .................................................................. 3 
Argument ......................................................................................... 4 
I. Purcell Did Not Restrict Courts’ Authority To Enjoin 
Voting Rules ............................................................................. 4 
II. Courts Should Consider Multiple Factors In Deciding 
Whether To Enjoin Voting Rules .......................................... 8 
III. Further Guidance Is Necessary To Reconfirm The 
Judiciary’s Proper Role In Election Cases ........................ 13 
Conclusion ...................................................................................... 15 
 
",http://www.supremecourt.gov/DocketPDF/20/20A64/157911/20201016103431606_20A64%20-%2020A65%20-%2020A66%20Election%20Law%20Scholars%20Motion%20-%20Brief.pdf,"CONCLUSION 
For the reasons stated above, amici respectfully urge 
the Court to clarify that Purcell issues no command and 
creates no presumption against courts’ injunction of po-
tentially unlawful voting rules in the period before an elec-
tion.  Instead, Purcell confirms that courts should con-
sider all relevant factors, given the context presented, in 
deciding whether an injunction is warranted.  
 
Respectfully submitted. 
 
 
ALEXANDRA M. WALSH 
Counsel of Record 
ANGELA CAI 
AMELIA I. P. FRENKEL 
ANASTASIA M. PASTAN 
WILKINSON WALSH LLP 
2001 M St. N.W., 10th Floor 
Washington, DC 20036 
(202) 847-4000 
awalsh@wilkinsonwalsh.com 
 
OCTOBER 2020",,,,sd3592
scotus_filing_34291,"TABLE OF CONTENTS 
 
Parties to the Proceeding ............................................................................................... i 
 
Statement of Related Proceedings ............................................................................... iv 
 
Table of Authorities ...................................................................................................... vi 
 
Interest of Amicus Curiae ............................................................................................. 1 
 
Summary of Argument .................................................................................................. 2 
 
Argument ....................................................................................................................... 2 
 
I. 
Despite Efforts to Combat the Pandemic, Wisconsin is Suffering a 
Severe COVID-19 Outbreak ............................................................................... 2 
 
 
A. 
Wisconsin's Initial Response to the Virus ............................................... 3 
 
 
B.  
By July 2020, COVID-19 Cases Began to Spike Again .................................... 7 
 
 
C.  
Wisconsin Is Currently Experiencing One of the Nation's Worst 
COVID-19 Outbreaks as the Election Approaches ............................... 10 
  
II. The District Court's Injunction Is Narrowly Tailored to Protect Voters' 
Rights in the Face of Wisconsin's Severe COVID-19 Outbreak and Will 
Not Confuse or Disenfranchise Voters ............................................................. 12 
 
Conclusion .................................................................................................................... 16 
 
 
 
 
 
vi 
 
",http://www.supremecourt.gov/DocketPDF/20/20A65/157816/20201015153259051_20A64%2020A65%2020A66%20Motions%20and%20Amicus%20Brief%20of%20Tony%20Evers%20Governor%20of%20Wisconsin.pdf,"Conclusion 
For the foregoing reasons, to protect Wisconsin citizens' right to vote and 
health, the Court should grant Plaintiffs-Applicants' Emergency Motion to Vacate 
the Circuit Court Stay of the district court's preliminary injunction. 
Respectfully submitted, 
Mailing Address: 
122 West Washington Ave 
Suite 900 
Madison, WI 53703 
(608) 251-0101 (telephone) 
(608) 251-2883 (facsimile) 
dwelsh@pinesbach.com 
lpines@pinesbach.com 
PINES BACH LLP 
~~.1UkL. 
DianeM.",,,,sd3592
scotus_filing_34300,"TABLE OF CONTENTS 
 
Parties to the Proceeding ............................................................................................... i 
 
Statement of Related Proceedings ............................................................................... iv 
 
Table of Authorities ...................................................................................................... vi 
 
Interest of Amicus Curiae ............................................................................................. 1 
 
Summary of Argument .................................................................................................. 2 
 
Argument ....................................................................................................................... 2 
 
I. 
Despite Efforts to Combat the Pandemic, Wisconsin is Suffering a 
Severe COVID-19 Outbreak ............................................................................... 2 
 
 
A. 
Wisconsin's Initial Response to the Virus ............................................... 3 
 
 
B.  
By July 2020, COVID-19 Cases Began to Spike Again .................................... 7 
 
 
C.  
Wisconsin Is Currently Experiencing One of the Nation's Worst 
COVID-19 Outbreaks as the Election Approaches ............................... 10 
  
II. The District Court's Injunction Is Narrowly Tailored to Protect Voters' 
Rights in the Face of Wisconsin's Severe COVID-19 Outbreak and Will 
Not Confuse or Disenfranchise Voters ............................................................. 12 
 
Conclusion .................................................................................................................... 16 
 
 
 
 
 
vi 
 
",http://www.supremecourt.gov/DocketPDF/20/20A66/157820/20201015153435427_20A64%2020A65%2020A66%20Motions%20and%20Amicus%20Brief%20of%20Tony%20Evers%20Governor%20of%20Wisconsin.pdf,"Conclusion 
For the foregoing reasons, to protect Wisconsin citizens' right to vote and 
health, the Court should grant Plaintiffs-Applicants' Emergency Motion to Vacate 
the Circuit Court Stay of the district court's preliminary injunction. 
Respectfully submitted, 
Mailing Address: 
122 West Washington Ave 
Suite 900 
Madison, WI 53703 
(608) 251-0101 (telephone) 
(608) 251-2883 (facsimile) 
dwelsh@pinesbach.com 
lpines@pinesbach.com 
PINES BACH LLP 
~~.1UkL. 
DianeM.",,,,sd3592
scotus_filing_34306,"TABLE OF CONTENTS 
Page 
Interest of Amici Curiae ............................................................... 1 
Summary of Argument .................................................................. 3 
Argument ......................................................................................... 4 
I. Purcell Did Not Restrict Courts’ Authority To Enjoin 
Voting Rules ............................................................................. 4 
II. Courts Should Consider Multiple Factors In Deciding 
Whether To Enjoin Voting Rules .......................................... 8 
III. Further Guidance Is Necessary To Reconfirm The 
Judiciary’s Proper Role In Election Cases ........................ 13 
Conclusion ...................................................................................... 15 
 
",http://www.supremecourt.gov/DocketPDF/20/20A66/157915/20201016105409273_20A64%20-%2020A65%20-%2020A66%20Election%20Law%20Scholars%20Motion%20-%20Brief.pdf,"CONCLUSION 
For the reasons stated above, amici respectfully urge 
the Court to clarify that Purcell issues no command and 
creates no presumption against courts’ injunction of po-
tentially unlawful voting rules in the period before an elec-
tion.  Instead, Purcell confirms that courts should con-
sider all relevant factors, given the context presented, in 
deciding whether an injunction is warranted.  
 
Respectfully submitted. 
 
 
ALEXANDRA M. WALSH 
Counsel of Record 
ANGELA CAI 
AMELIA I. P. FRENKEL 
ANASTASIA M. PASTAN 
WILKINSON WALSH LLP 
2001 M St. N.W., 10th Floor 
Washington, DC 20036 
(202) 847-4000 
awalsh@wilkinsonwalsh.com 
 
OCTOBER 2020",,,,sd3592
scotus_filing_34313,"TABLE OF CONTENTS 
STATEMENT OF INTEREST OF AMICI CURIAE .................................................... 1 
ARGUMENT .................................................................................................................. 3 
I. 
Local Election Officials And States Require Flexibility To Ensure 
That Residents Can Vote Safely Amid The Ongoing Public Health 
Emergency ................................................................................................ 3 
A. 
Allowing states and localities to tailor local elections to 
local conditions benefits both voters and the overall 
electoral system ............................................................................. 4 
B. 
Numerous 
state 
and 
local 
election 
officials 
have 
implemented curbside voting policies ........................................... 5 
II. 
There Is No Evidence That Permitting Curbside Voting Will 
Result In Voter Fraud, Is Impracticable, Or Raises Privacy 
Concerns ................................................................................................... 9 
CONCLUSION ............................................................................................................. 14 
 
 
ii 
",http://www.supremecourt.gov/DocketPDF/20/20A67/158077/20201019114546685_People%20First%20DC%20%20Mot%20and%20Br%20file.pdf,"CONCLUSION 
This Court should deny the application for a stay. 
 
30  
Available at https://bit.ly/3o8TcAC (last v",,,,sd3592
scotus_filing_34314,"TABLE OF CONTENTS 
TABLE OF AUTHORITIES .......................................................................................................... II 
STATEMENT OF INTEREST ....................................................................................................... 1 
SUMMARY OF ARGUMENT ...................................................................................................... 2 
ARGUMENT .................................................................................................................................. 3 
I. 
CURBSIDE VOTING IS A COMMON, EASILY IMPLEMENTED 
ACCOMMODATION THAT SUBSTANTIALLY MITIGATES THE RISK TO 
MEDICALLY VULNERABLE VOTERS WHO CAST THEIR BALLOTS IN-PERSON 
ON ELECTION DAY......................................................................................................... 3 
II. 
PERMITTING ALABAMA COUNTIES TO DECIDE WHETHER TO OFFER 
CURBSIDE VOTING IS A REASONABLE ACCOMMODATION FOR THE 1.6 
MILLION ALABAMA VOTERS WHO ARE AT HEIGHTENED RISK FROM 
COVID-19 AND ENTITLED TO RELIEF UNDER TITLE II ......................................... 7 
III. 
ENJOINING ENFORCEMENT OF THE CURBSIDE VOTING BAN DOES NOT RUN 
AFOUL OF PURCELL ..................................................................................................... 11 
CONCLUSION ............................................................................................................................. 15 
 
ii 
 
",http://www.supremecourt.gov/DocketPDF/20/20A67/158080/20201019115034063_20A67%20Motion%20and%20Brief%20for%20the%20American%20Diabetes%20Association%20et%20al.pdf,"CONCLUSION 
 
For the reasons stated herein, Amici respectfully submit that this Court should deny the 
emergency application for a stay.  
Dated: October 19, 2020 
 
 
                                             Respectfully submitted, 
 
 
/s/ Demian A. Ordway            
Demian A. Ordway* 
 
*Counsel of Record 
Margaret B. Hoppin 
HOLWELL SHUSTER & GOLDBERG LLP 
425 Lexington Avenue, 14th Floor  
New York, NY 10017 
Telephone: 646.837.5151 
Email: dordway@hsgllp.com 
 
 
 
32 In Purcell, this Court concluded that the appellate court’s failure to “give deference to the discretion of 
the District Court” was “error.” 549 U.S. at 5. Here, by contrast, the Court of Appeals for the Eleventh 
Circuit afforded appropriate deference to the District Court’s extensive factual findings and legal 
conclusions, when it declined to stay the injunction prohibiting Secretary Merrill from enforcing his",,,,sd3592
